单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011001691,菱角,水生根茎类,17:04:59.248,0.344,16.0,销售,否,2021-07-17,10.23
102900011001691,菱角,水生根茎类,17:10:20.915,0.313,16.0,销售,否,2021-07-17,10.23
102900011001691,菱角,水生根茎类,21:36:07.822,0.15,16.0,销售,否,2021-07-17,10.23
102900011001691,菱角,水生根茎类,16:56:34.299,0.338,16.0,销售,否,2021-07-18,8.7
102900011001691,菱角,水生根茎类,17:31:37.779,0.094,16.0,销售,否,2021-07-18,8.7
102900011001691,菱角,水生根茎类,18:09:52.047,0.889,16.0,销售,否,2021-07-18,8.7
102900011001691,菱角,水生根茎类,19:31:36.811,0.269,16.0,销售,否,2021-07-18,8.7
102900011001691,菱角,水生根茎类,20:50:14.162,0.45,4.0,销售,是,2021-07-18,8.7
102900011001691,菱角,水生根茎类,21:10:12.987,0.45,4.0,销售,是,2021-07-18,8.7
102900011001691,菱角,水生根茎类,21:13:50.690,0.475,4.0,销售,是,2021-07-18,8.7
102900011001691,菱角,水生根茎类,21:21:14.933,0.525,4.0,销售,是,2021-07-18,8.7
102900011001691,菱角,水生根茎类,21:26:15.373,0.7,4.0,销售,是,2021-07-18,8.7
102900011001691,菱角,水生根茎类,14:06:30.313,0.48,19.8,销售,否,2022-05-30,13.68
102900011001691,菱角,水生根茎类,18:39:33.639,0.212,19.8,销售,否,2022-05-30,13.68
102900011001691,菱角,水生根茎类,19:39:37.905,0.242,19.8,销售,否,2022-06-02,13.68
102900011001691,菱角,水生根茎类,10:18:35.858,0.248,19.8,销售,否,2022-06-03,13.36
102900011001691,菱角,水生根茎类,10:48:02.889,0.768,19.8,销售,否,2022-06-03,13.36
102900011001691,菱角,水生根茎类,12:06:49.733,0.414,19.8,销售,否,2022-06-03,13.36
102900011001691,菱角,水生根茎类,17:08:50.827,0.652,19.8,销售,否,2022-06-05,8.21
102900011001691,菱角,水生根茎类,10:06:42.367,0.212,19.8,销售,否,2022-06-12,12.25
102900011001691,菱角,水生根茎类,10:54:55.237,0.404,19.8,销售,否,2022-06-12,12.25
102900011001691,菱角,水生根茎类,18:01:32.155,0.187,19.8,销售,否,2022-06-12,12.25
102900011001691,菱角,水生根茎类,16:12:27.261,0.384,19.8,销售,否,2022-06-13,12.27
102900011001691,菱角,水生根茎类,16:23:56.066,0.414,19.8,销售,否,2022-06-13,12.27
102900011001691,菱角,水生根茎类,10:31:19.045,0.54,19.8,销售,否,2022-06-14,12.52
102900011001691,菱角,水生根茎类,18:49:46.139,0.394,19.8,销售,否,2022-06-14,12.52
102900011001691,菱角,水生根茎类,17:02:47.693,0.394,19.8,销售,否,2022-06-15,12.53
102900011001691,菱角,水生根茎类,20:37:10.686,0.192,19.8,销售,否,2022-06-15,12.53
102900011001691,菱角,水生根茎类,13:45:59.186,0.404,19.8,销售,否,2022-06-17,12.52
102900011001691,菱角,水生根茎类,11:48:08.675,0.177,19.8,销售,否,2022-06-18,12.51
102900011001691,菱角,水生根茎类,15:31:21.852,0.222,19.8,销售,否,2022-06-18,12.51
102900011001691,菱角,水生根茎类,11:37:23.718,0.197,19.8,销售,否,2022-06-20,12.12
102900011001691,菱角,水生根茎类,18:13:30.442,0.384,19.8,销售,否,2022-06-20,12.12
102900011001691,菱角,水生根茎类,15:14:15.816,0.263,19.8,销售,否,2022-06-21,12.03
102900011001691,菱角,水生根茎类,15:41:51.173,0.202,19.8,销售,否,2022-06-21,12.03
102900011001691,菱角,水生根茎类,18:57:34.155,0.172,19.8,销售,否,2022-06-21,12.03
102900011001691,菱角,水生根茎类,09:49:03.751,0.192,19.8,销售,否,2022-06-25,11.52
102900011001691,菱角,水生根茎类,09:53:54.473,0.682,19.8,销售,否,2022-06-25,11.52
102900011001691,菱角,水生根茎类,12:49:33.892,0.687,19.8,销售,否,2022-06-28,11.29
102900011001691,菱角,水生根茎类,13:44:45.795,0.213,16.0,销售,否,2022-06-29,11.28
102900011001691,菱角,水生根茎类,14:25:07.775,0.213,16.0,销售,否,2022-06-29,11.28
102900011001691,菱角,水生根茎类,15:55:30.161,0.182,16.0,销售,否,2022-06-29,11.28
102900011001691,菱角,水生根茎类,11:30:47.076,0.15,16.0,销售,否,2022-06-30,11.29
102900011001691,菱角,水生根茎类,10:09:49.961,0.32,16.0,销售,否,2022-07-01,10.36
102900011001691,菱角,水生根茎类,10:10:06.943,0.451,16.0,销售,否,2022-07-01,10.36
102900011001691,菱角,水生根茎类,17:16:56.748,0.915,16.0,销售,否,2022-07-03,10.19
102900011001691,菱角,水生根茎类,18:49:17.221,0.307,16.0,销售,否,2022-07-03,10.19
102900011001691,菱角,水生根茎类,11:27:16.373,0.107,16.0,销售,否,2022-07-04,10.0
102900011001691,菱角,水生根茎类,17:01:13.566,0.163,16.0,销售,否,2022-07-04,10.0
102900011001691,菱角,水生根茎类,17:12:30.983,0.871,16.0,销售,否,2022-07-04,10.0
102900011001691,菱角,水生根茎类,11:17:14.929,0.188,16.0,销售,否,2022-07-05,10.22
102900011001691,菱角,水生根茎类,11:20:10.717,0.201,16.0,销售,否,2022-07-05,10.22
102900011001691,菱角,水生根茎类,15:21:43.021,0.451,16.0,销售,否,2022-07-05,10.22
102900011001691,菱角,水生根茎类,15:44:37.845,0.157,16.0,销售,否,2022-07-05,10.22
102900011001691,菱角,水生根茎类,09:28:02.742,0.207,16.0,销售,否,2022-07-08,10.19
102900011001691,菱角,水生根茎类,09:33:51.316,1.51,16.0,销售,否,2022-07-08,10.19
102900011001691,菱角,水生根茎类,20:36:32.639,0.282,16.0,销售,否,2022-07-08,10.19
102900011001691,菱角,水生根茎类,12:09:20.766,0.182,16.0,销售,否,2022-07-09,9.16
102900011001691,菱角,水生根茎类,18:37:20.219,0.376,16.0,销售,否,2022-07-09,9.16
102900011001691,菱角,水生根茎类,10:19:42.265,0.407,16.0,销售,否,2022-07-10,8.42
102900011001691,菱角,水生根茎类,11:24:18.342,0.483,16.0,销售,否,2022-07-10,8.42
102900011001691,菱角,水生根茎类,16:03:54.639,0.457,16.0,销售,否,2022-07-14,8.31
102900011001691,菱角,水生根茎类,11:38:40.108,0.395,16.0,销售,否,2022-07-15,8.21
102900011001691,菱角,水生根茎类,14:08:00.554,0.382,16.0,销售,否,2022-07-15,8.21
102900011001691,菱角,水生根茎类,09:44:53.592,0.414,16.0,销售,否,2022-07-16,8.18
102900011001691,菱角,水生根茎类,10:37:12.661,0.451,16.0,销售,否,2022-07-16,8.18
102900011001691,菱角,水生根茎类,13:03:29.740,0.226,16.0,销售,否,2022-07-16,8.18
102900011001691,菱角,水生根茎类,11:09:45.040,0.201,16.0,销售,否,2022-07-18,7.44
102900011001691,菱角,水生根茎类,15:42:22.084,0.207,16.0,销售,否,2022-07-18,7.44
102900011001691,菱角,水生根茎类,17:34:16.092,0.363,16.0,销售,否,2022-07-18,7.44
102900011001691,菱角,水生根茎类,12:08:19.151,0.244,16.0,销售,否,2022-07-19,7.44
102900011001691,菱角,水生根茎类,16:49:26.127,0.589,16.0,销售,否,2022-07-19,7.44
102900011001691,菱角,水生根茎类,16:56:45.670,0.175,16.0,销售,否,2022-07-19,7.44
102900011001691,菱角,水生根茎类,17:44:05.473,0.257,16.0,销售,否,2022-07-19,7.44
102900011001691,菱角,水生根茎类,16:18:18.980,0.213,16.0,销售,否,2022-07-20,7.14
102900011001691,菱角,水生根茎类,10:09:49.283,0.213,16.0,销售,否,2022-07-21,7.14
102900011001691,菱角,水生根茎类,11:45:37.983,0.871,16.0,销售,否,2022-07-21,7.14
102900011001691,菱角,水生根茎类,09:39:01.623,0.959,16.0,销售,否,2022-07-22,6.61
102900011001691,菱角,水生根茎类,10:23:19.998,0.326,16.0,销售,否,2022-07-25,6.19
102900011001691,菱角,水生根茎类,11:43:01.780,0.201,16.0,销售,否,2022-07-25,6.19
102900011001691,菱角,水生根茎类,12:20:51.540,0.89,16.0,销售,否,2022-07-25,6.19
102900011001691,菱角,水生根茎类,13:19:01.975,0.389,16.0,销售,否,2022-07-25,6.19
102900011001691,菱角,水生根茎类,16:15:56.300,0.351,16.0,销售,否,2022-07-25,6.19
102900011001691,菱角,水生根茎类,17:15:24.895,0.169,16.0,销售,否,2022-07-25,6.19
102900011001691,菱角,水生根茎类,18:30:09.264,0.219,16.0,销售,否,2022-07-25,6.19
102900011001691,菱角,水生根茎类,10:33:58.842,0.291,10.0,销售,否,2022-07-30,6.16
102900011001691,菱角,水生根茎类,11:02:43.010,0.281,10.0,销售,否,2022-07-30,6.16
102900011001691,菱角,水生根茎类,11:05:12.994,0.1,10.0,销售,否,2022-07-30,6.16
102900011001691,菱角,水生根茎类,10:43:14.217,0.251,10.0,销售,否,2022-07-31,6.15
102900011001691,菱角,水生根茎类,11:04:41.323,0.231,10.0,销售,否,2022-07-31,6.15
102900011001691,菱角,水生根茎类,15:50:20.887,0.271,10.0,销售,否,2022-07-31,6.15
102900011001691,菱角,水生根茎类,16:41:02.923,1.034,10.0,销售,否,2022-07-31,6.15
102900011001691,菱角,水生根茎类,09:37:39.667,0.231,10.0,销售,否,2022-08-01,6.16
102900011001691,菱角,水生根茎类,11:38:52.253,0.281,10.0,销售,否,2022-08-01,6.16
102900011001691,菱角,水生根茎类,11:40:30.596,0.592,10.0,销售,否,2022-08-01,6.16
102900011001691,菱角,水生根茎类,15:14:10.030,0.151,10.0,销售,否,2022-08-01,6.16
102900011001691,菱角,水生根茎类,15:42:44.330,0.432,10.0,销售,否,2022-08-01,6.16
102900011001691,菱角,水生根茎类,10:05:49.764,0.301,10.0,销售,否,2022-08-02,6.19
102900011001691,菱角,水生根茎类,11:55:30.228,0.623,10.0,销售,否,2022-08-02,6.19
102900011001691,菱角,水生根茎类,10:19:35.759,0.1,10.0,销售,否,2022-08-03,6.15
102900011001691,菱角,水生根茎类,11:56:31.958,0.392,10.0,销售,否,2022-08-03,6.15
102900011001691,菱角,水生根茎类,16:26:03.888,0.191,10.0,销售,否,2022-08-03,6.15
102900011001691,菱角,水生根茎类,18:34:29.538,0.532,10.0,销售,否,2022-08-03,6.15
102900011001691,菱角,水生根茎类,18:48:25.424,0.382,10.0,销售,否,2022-08-03,6.15
102900011001691,菱角,水生根茎类,10:06:26.869,0.372,10.0,销售,否,2022-08-04,6.15
102900011001691,菱角,水生根茎类,18:31:27.733,0.171,10.0,销售,否,2022-08-04,6.15
102900011001691,菱角,水生根茎类,10:12:50.076,0.904,10.0,销售,否,2022-08-05,6.15
102900011001691,菱角,水生根茎类,15:37:35.254,0.241,10.0,销售,否,2022-08-05,6.15
102900011001691,菱角,水生根茎类,17:15:03.706,0.191,10.0,销售,否,2022-08-05,6.15
102900011001691,菱角,水生根茎类,10:07:35.606,0.412,10.0,销售,否,2022-08-06,6.15
102900011001691,菱角,水生根茎类,11:07:48.924,0.201,10.0,销售,否,2022-08-06,6.15
102900011001691,菱角,水生根茎类,10:51:49.249,0.311,10.0,销售,否,2022-08-07,6.18
102900011001691,菱角,水生根茎类,11:01:37.045,0.241,10.0,销售,否,2022-08-07,6.18
102900011001691,菱角,水生根茎类,11:17:43.614,0.1,10.0,销售,否,2022-08-07,6.18
102900011001691,菱角,水生根茎类,11:25:19.679,0.572,10.0,销售,否,2022-08-07,6.18
102900011001691,菱角,水生根茎类,13:51:25.618,0.643,10.0,销售,否,2022-08-07,6.18
102900011001691,菱角,水生根茎类,14:19:03.858,0.07,10.0,销售,否,2022-08-07,6.18
102900011001691,菱角,水生根茎类,14:19:23.622,0.924,10.0,销售,否,2022-08-07,6.18
102900011001691,菱角,水生根茎类,17:28:44.558,0.542,10.0,销售,否,2022-08-07,6.18
102900011001691,菱角,水生根茎类,18:12:56.842,0.452,10.0,销售,否,2022-08-07,6.18
102900011001691,菱角,水生根茎类,18:30:03.030,0.934,10.0,销售,否,2022-08-08,6.2
102900011001691,菱角,水生根茎类,10:46:55.071,0.763,10.0,销售,否,2022-08-09,6.0
102900011001691,菱角,水生根茎类,17:08:10.194,0.472,10.0,销售,否,2022-08-09,6.0
102900011001691,菱角,水生根茎类,14:04:28.295,0.372,10.0,销售,否,2022-08-10,5.15
102900011001691,菱角,水生根茎类,16:13:57.755,0.331,10.0,销售,否,2022-08-10,5.15
102900011001691,菱角,水生根茎类,17:52:08.358,0.522,10.0,销售,否,2022-08-11,5.13
102900011001691,菱角,水生根茎类,18:07:18.025,0.191,10.0,销售,否,2022-08-11,5.13
102900011001691,菱角,水生根茎类,11:09:49.467,0.452,10.0,销售,否,2022-08-12,5.16
102900011001691,菱角,水生根茎类,11:44:05.225,0.382,10.0,销售,否,2022-08-12,5.16
102900011001691,菱角,水生根茎类,10:20:11.838,0.512,10.0,销售,否,2022-08-14,5.02
102900011001691,菱角,水生根茎类,10:37:59.796,0.753,10.0,销售,否,2022-08-14,5.02
102900011001691,菱角,水生根茎类,10:43:26.208,0.432,10.0,销售,否,2022-08-14,5.02
102900011001691,菱角,水生根茎类,16:38:09.880,0.522,10.0,销售,否,2022-08-14,5.02
102900011001691,菱角,水生根茎类,17:04:08.117,0.221,10.0,销售,否,2022-08-14,5.02
102900011001691,菱角,水生根茎类,15:15:38.295,0.562,10.0,销售,否,2022-08-15,5.16
102900011001691,菱角,水生根茎类,16:39:56.094,0.131,10.0,销售,否,2022-08-15,5.16
102900011001691,菱角,水生根茎类,17:15:47.559,0.291,10.0,销售,否,2022-08-15,5.16
102900011001691,菱角,水生根茎类,10:13:46.633,0.472,10.0,销售,否,2022-08-16,5.21
102900011001691,菱角,水生根茎类,11:32:03.301,0.321,10.0,销售,否,2022-08-16,5.21
102900011001691,菱角,水生根茎类,11:40:24.358,0.522,10.0,销售,否,2022-08-16,5.21
102900011001691,菱角,水生根茎类,13:01:21.050,0.231,10.0,销售,否,2022-08-16,5.21
102900011001691,菱角,水生根茎类,16:55:15.908,0.372,10.0,销售,否,2022-08-16,5.21
102900011001691,菱角,水生根茎类,18:12:23.442,0.602,10.0,销售,否,2022-08-16,5.21
102900011001691,菱角,水生根茎类,09:49:14.014,0.161,10.0,销售,否,2022-08-17,5.2
102900011001691,菱角,水生根茎类,16:50:55.154,0.663,10.0,销售,否,2022-08-17,5.2
102900011001691,菱角,水生根茎类,11:31:57.483,2.269,10.0,销售,否,2022-08-18,5.12
102900011001691,菱角,水生根茎类,18:31:01.295,0.643,10.0,销售,否,2022-08-18,5.12
102900011001691,菱角,水生根茎类,18:53:20.967,0.211,10.0,销售,否,2022-08-18,5.12
102900011001691,菱角,水生根茎类,19:25:11.217,0.191,10.0,销售,否,2022-08-18,5.12
102900011001691,菱角,水生根茎类,10:18:34.519,0.874,10.0,销售,否,2022-08-19,5.1
102900011001691,菱角,水生根茎类,14:15:32.342,0.351,10.0,销售,否,2022-08-20,5.14
102900011001691,菱角,水生根茎类,15:53:57.295,0.09,10.0,销售,否,2022-08-20,5.14
102900011001691,菱角,水生根茎类,17:52:59.873,0.422,10.0,销售,否,2022-08-20,5.14
102900011001691,菱角,水生根茎类,11:25:34.389,0.311,10.0,销售,否,2022-08-21,5.14
102900011001691,菱角,水生根茎类,18:23:11.217,0.512,10.0,销售,否,2022-08-22,5.09
102900011001691,菱角,水生根茎类,11:41:33.606,0.612,10.0,销售,否,2022-08-23,5.0
102900011001691,菱角,水生根茎类,10:25:07.301,0.663,10.0,销售,否,2022-08-24,5.13
102900011001691,菱角,水生根茎类,10:36:03.331,0.241,10.0,销售,否,2022-08-24,5.13
102900011001691,菱角,水生根茎类,11:17:50.311,0.131,10.0,销售,否,2022-08-24,5.13
102900011001691,菱角,水生根茎类,11:19:56.561,0.412,10.0,销售,否,2022-08-24,5.13
102900011001691,菱角,水生根茎类,10:46:54.826,0.341,10.0,销售,否,2022-08-25,5.15
102900011001691,菱角,水生根茎类,14:43:07.319,0.592,10.0,销售,否,2022-08-27,5.2
102900011001691,菱角,水生根茎类,14:49:23.061,0.793,10.0,销售,否,2022-08-27,5.2
102900011001691,菱角,水生根茎类,16:13:30.436,0.525,23.6,销售,否,2023-05-18,17.42
102900011001691,菱角,水生根茎类,16:30:50.557,0.53,23.6,销售,否,2023-05-18,17.42
102900011001691,菱角,水生根茎类,20:06:23.567,1.17,23.6,销售,否,2023-05-19,17.43
102900011001691,菱角,水生根茎类,10:55:32.319,0.177,23.2,销售,否,2023-05-20,17.42
102900011001691,菱角,水生根茎类,21:10:27.656,0.311,23.2,销售,否,2023-05-20,17.42
102900011001691,菱角,水生根茎类,11:32:59.139,0.289,23.2,销售,否,2023-05-21,17.44
102900011001691,菱角,水生根茎类,20:05:01.473,0.492,23.2,销售,否,2023-05-22,17.42
102900011001691,菱角,水生根茎类,21:19:34.869,0.268,23.2,销售,否,2023-05-22,17.42
102900011001691,菱角,水生根茎类,11:50:17.436,0.301,20.0,销售,否,2023-05-23,17.42
102900011001691,菱角,水生根茎类,19:30:29.155,0.351,20.0,销售,否,2023-05-23,17.42
102900011001691,菱角,水生根茎类,19:48:58.358,0.411,20.0,销售,否,2023-05-23,17.42
102900011001691,菱角,水生根茎类,14:58:01.451,0.165,20.0,销售,否,2023-05-24,17.43
102900011001691,菱角,水生根茎类,21:30:27.998,0.205,20.0,销售,否,2023-05-24,17.43
102900011001691,菱角,水生根茎类,10:29:38.743,0.1,20.0,销售,否,2023-05-25,15.81
102900011001691,菱角,水生根茎类,10:49:00.284,0.12,20.0,销售,否,2023-05-25,15.81
102900011001691,菱角,水生根茎类,15:25:42.955,1.017,20.0,销售,否,2023-05-25,15.81
102900011001691,菱角,水生根茎类,12:13:20.889,0.165,20.0,销售,否,2023-05-26,15.46
102900011001691,菱角,水生根茎类,17:12:50.139,0.13,20.0,销售,否,2023-05-26,15.46
102900011001691,菱角,水生根茎类,11:08:37.061,0.346,20.0,销售,否,2023-05-27,15.44
102900011001691,菱角,水生根茎类,20:57:36.267,0.992,12.0,销售,是,2023-05-27,15.44
102900011001691,菱角,水生根茎类,11:27:56.974,0.16,20.0,销售,否,2023-05-28,15.44
102900011001691,菱角,水生根茎类,13:28:00.356,0.551,20.0,销售,否,2023-05-29,15.44
102900011001691,菱角,水生根茎类,16:54:43.338,1.052,20.0,销售,否,2023-05-29,15.44
102900011001691,菱角,水生根茎类,12:55:21.67,0.128,18.0,销售,否,2023-06-01,15.45
102900011001691,菱角,水生根茎类,21:35:13.092,0.206,18.0,销售,否,2023-06-01,15.45
102900011001691,菱角,水生根茎类,15:17:55.514,0.376,16.0,销售,否,2023-06-03,15.4
102900011001691,菱角,水生根茎类,19:40:44.649,0.326,16.0,销售,否,2023-06-03,15.4
102900011001691,菱角,水生根茎类,21:03:50.499,0.288,16.0,销售,否,2023-06-03,15.4
102900011001691,菱角,水生根茎类,10:01:24.483,0.357,16.0,销售,否,2023-06-05,13.35
102900011001691,菱角,水生根茎类,17:59:06.521,0.282,16.0,销售,否,2023-06-06,13.34
102900011001691,菱角,水生根茎类,09:17:43.139,0.263,16.0,销售,否,2023-06-07,12.15
102900011001691,菱角,水生根茎类,11:03:21.96,0.163,16.0,销售,否,2023-06-07,12.15
102900011001691,菱角,水生根茎类,16:25:17.139,0.533,16.0,销售,否,2023-06-07,12.15
102900011001691,菱角,水生根茎类,16:59:16.784,0.276,16.0,销售,否,2023-06-07,12.15
102900011001691,菱角,水生根茎类,20:05:04.555,0.602,16.0,销售,否,2023-06-07,12.15
102900011001691,菱角,水生根茎类,21:35:20.794,1.422,16.0,销售,否,2023-06-07,12.15
102900011001691,菱角,水生根茎类,15:53:40.201,0.207,16.0,销售,否,2023-06-08,11.21
102900011001691,菱角,水生根茎类,20:43:09.383,0.238,16.0,销售,否,2023-06-09,11.22
102900011001691,菱角,水生根茎类,17:48:11.42,0.313,16.0,销售,否,2023-06-10,11.24
102900011001691,菱角,水生根茎类,19:03:28.754,0.207,16.0,销售,否,2023-06-10,11.24
102900011001691,菱角,水生根茎类,20:05:56.795,0.15,16.0,销售,否,2023-06-10,11.24
102900011001691,菱角,水生根茎类,20:09:39.054,0.301,16.0,销售,否,2023-06-10,11.24
102900011001691,菱角,水生根茎类,09:51:17.103,0.269,16.0,销售,否,2023-06-11,11.23
102900011001691,菱角,水生根茎类,11:55:58.03,0.451,16.0,销售,否,2023-06-11,11.23
102900011001691,菱角,水生根茎类,14:11:18.467,0.244,16.0,销售,否,2023-06-11,11.23
102900011001691,菱角,水生根茎类,16:24:50.164,0.332,16.0,销售,否,2023-06-11,11.23
102900011001691,菱角,水生根茎类,20:45:52.007,0.144,16.0,销售,否,2023-06-11,11.23
102900011001691,菱角,水生根茎类,16:03:16.533,0.307,16.0,销售,否,2023-06-12,11.23
102900011001691,菱角,水生根茎类,10:01:14.03,0.122,14.0,销售,否,2023-06-13,11.21
102900011001691,菱角,水生根茎类,21:07:41.17,0.63,14.0,销售,否,2023-06-15,11.21
102900011001691,菱角,水生根茎类,09:34:24.987,0.38,14.0,销售,否,2023-06-16,11.22
102900011001691,菱角,水生根茎类,10:36:51.889,0.208,14.0,销售,否,2023-06-16,11.22
102900011001691,菱角,水生根茎类,18:13:39.107,0.265,14.0,销售,否,2023-06-16,11.22
102900011001691,菱角,水生根茎类,11:32:36.855,0.337,14.0,销售,否,2023-06-17,11.24
102900011001691,菱角,水生根茎类,12:02:44.882,0.365,14.0,销售,否,2023-06-17,11.24
102900011001691,菱角,水生根茎类,12:23:32.147,0.602,14.0,销售,否,2023-06-17,11.24
102900011001691,菱角,水生根茎类,15:04:26.363,0.222,14.0,销售,否,2023-06-17,11.24
102900011001691,菱角,水生根茎类,11:30:13.155,0.244,14.0,销售,否,2023-06-19,11.23
102900011001691,菱角,水生根茎类,09:51:41.858,0.523,14.0,销售,否,2023-06-20,10.78
102900011001691,菱角,水生根茎类,10:25:50.681,0.423,14.0,销售,否,2023-06-20,10.78
102900011001691,菱角,水生根茎类,11:45:53.766,0.559,14.0,销售,否,2023-06-20,10.78
102900011001691,菱角,水生根茎类,18:42:05.764,0.179,14.0,销售,否,2023-06-20,10.78
102900011001691,菱角,水生根茎类,09:27:42.061,1.089,14.0,销售,否,2023-06-21,9.18
102900011001691,菱角,水生根茎类,18:25:49.72,0.287,14.0,销售,否,2023-06-21,9.18
102900011001691,菱角,水生根茎类,10:16:46.701,0.444,14.0,销售,否,2023-06-22,9.18
102900011001691,菱角,水生根茎类,15:02:27.21,0.337,14.0,销售,否,2023-06-22,9.18
102900011001691,菱角,水生根茎类,17:42:23.094,0.351,14.0,销售,否,2023-06-22,9.18
102900011001691,菱角,水生根茎类,17:55:14.097,0.437,14.0,销售,否,2023-06-22,9.18
102900011001691,菱角,水生根茎类,21:22:04.811,0.38,14.0,销售,否,2023-06-22,9.18
102900011001691,菱角,水生根茎类,21:48:33.503,0.466,14.0,销售,否,2023-06-22,9.18
102900011001691,菱角,水生根茎类,16:14:46.299,0.294,14.0,销售,否,2023-06-23,9.17
102900011001691,菱角,水生根茎类,17:28:27.501,0.172,14.0,销售,否,2023-06-23,9.17
102900011001691,菱角,水生根茎类,19:56:51.885,0.451,14.0,销售,否,2023-06-23,9.17
